EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_122,c_12,c_2,c_3,m_3,0.7358,0.7710641719,model_645
episode_123,c_6,c_4,c_9,m_3,0.6993,0.9162489613,model_135
episode_124,c_1,m_1,s,-,0.676,0.944533562,model_737
episode_124,c_1,m_1,s,-,0.6764,0.9437147076,model_1747
episode_125,c_10,c_6,c_10,c_6,0.7075,0.8981566717,model_586
episode_126,c_8,c_9,c_1,c_9,0.7069,0.8652172821,model_627
episode_127,c_3,c_11,c_3,c_5,0.7242,0.8350795701,model_183
episode_128,c_3,m_3,c_2,m_2,0.721,0.806424848,model_869
episode_129,c_6,m_3,c_3,c_8,0.7471,0.773602103,model_1962
episode_130,c_1,m_3,c_12,s,0.746,0.7515652296,model_994
episode_131,c_7,c_2,m_2,c_1,0.7123,0.8911453798,model_1510
episode_132,c_3,c_7,c_7,c_4,0.7325,0.8044449491,model_1607
episode_133,c_5,c_7,s,-,0.7177,0.8618602972,model_248
episode_133,c_5,c_7,s,-,0.6907,0.9214626517,model_1474
episode_134,c_2,c_7,c_2,c_5,0.7311,0.8157497956,model_1071
episode_135,c_2,c_1,c_10,c_8,0.7034,0.8915609694,model_1572
episode_136,c_11,c_5,c_7,m_2,0.7345,0.7882099216,model_1621
episode_137,c_1,c_6,c_12,c_2,0.7453,0.7712260663,model_1816
episode_138,c_1,c_2,m_1,c_1,0.7201,0.8207984342,model_1282
episode_139,c_6,c_5,c_5,c_5,0.7444,0.761924319,model_1576
episode_140,c_10,c_10,c_11,c_7,0.7536,0.7693308115,model_1354
episode_141,c_5,c_3,c_1,c_2,0.7034,0.8620161312,model_1078
episode_142,c_12,c_7,c_1,m_3,0.7349,0.7692739216,model_1810
episode_143,c_5,c_7,m_3,c_12,0.7498,0.7420336384,model_1916
episode_144,c_6,c_12,c_7,c_12,0.7165,0.8765576422,model_1366
episode_145,c_8,c_11,c_4,c_9,0.6944,1.1505332062,model_808
episode_146,m_1,c_7,c_8,c_9,0.6833,1.0054539566,model_2017
episode_147,c_1,m_3,c_11,c_2,0.738,0.7620108969,model_1687
episode_148,c_6,c_2,c_4,c_12,0.7217,0.8525566178,model_17
episode_149,c_5,c_11,c_7,c_6,0.7244,0.8103359268,model_368
episode_150,c_8,c_7,c_5,c_12,0.7191,0.8306212075,model_792
episode_151,c_1,c_4,c_9,c_3,0.7301,0.8099079831,model_1257
episode_152,c_5,c_6,m_3,s,0.7169,0.8459925119,model_1827
episode_153,c_3,c_7,c_7,c_4,0.7325,0.8044449491,model_1607
episode_154,c_9,c_10,s,-,0.7011,0.8853812638,model_288
episode_155,c_3,c_4,c_6,s,0.7029,0.8845718176,model_701
episode_156,c_6,c_3,c_11,m_2,0.7235,0.8183247952,model_186
episode_157,c_6,c_9,c_7,c_9,0.7261,0.816942543,model_680
episode_158,m_1,c_3,m_2,s,0.6867,0.9185542938,model_1548
episode_159,c_4,c_7,c_3,c_6,0.7371,0.7863302718,model_2
episode_159,c_4,c_7,c_3,c_6,0.7288,0.8192272733,model_1155
episode_160,m_3,c_2,c_3,c_6,0.7123,0.8931817554,model_460
episode_161,c_9,m_1,c_7,c_4,0.7319,0.7967828585,model_1636
episode_162,c_1,c_1,c_12,c_4,0.7258,0.8162831419,model_921
episode_163,c_7,m_2,m_1,s,0.7191,0.8488991506,model_291
episode_164,c_10,m_2,c_4,m_1,0.7081,0.8798062956,model_2019
episode_165,c_4,c_9,m_1,m_2,0.7405,0.7544102172,model_632
episode_166,c_8,c_10,s,-,0.6833,0.9534517008,model_478
episode_167,c_11,c_1,c_11,s,0.7246,0.8354182668,model_634
episode_168,c_6,c_1,c_9,c_10,0.7277,0.812795171,model_1853
episode_169,c_3,c_4,s,-,0.702,0.8667628729,model_268
episode_169,c_3,c_4,s,-,0.6763,0.9493582614,model_1209
episode_170,c_11,m_2,c_6,c_5,0.7385,0.7728996809,model_1433
episode_171,c_1,c_1,m_2,c_8,0.7232,0.8060328196,model_606
episode_172,c_4,c_4,c_5,c_2,0.6982,0.8750688059,model_267
episode_173,m_1,s,-,-,0.6512,1.0135904365,model_747
episode_173,m_1,s,-,-,0.6611,1.0020152681,model_1269
episode_173,m_1,s,-,-,0.6378,1.0338901164,model_1897
episode_174,c_10,c_8,m_2,c_4,0.6941,0.8685959763,model_131
episode_175,c_3,c_2,m_3,c_10,0.7232,0.8310182674,model_1359
episode_176,c_9,c_4,c_5,c_9,0.7022,0.8714258204,model_914
episode_177,c_5,c_11,m_2,c_9,0.773,0.6703214809,model_1788
episode_178,c_3,c_2,m_3,c_10,0.7232,0.8310182674,model_1359
episode_179,c_7,c_10,c_11,c_10,0.7383,0.7716200436,model_1894
episode_180,c_6,c_11,c_4,s,0.6908,0.8864691418,model_39
episode_180,c_6,c_11,c_4,s,0.6939,0.8879109629,model_1036
episode_181,c_4,c_4,c_10,c_2,0.7071,0.8561749895,model_1978
episode_182,c_7,c_3,c_6,c_1,0.7183,0.8288707768,model_1713
episode_183,c_6,c_4,c_5,c_1,0.6886,0.9118706909,model_1684
episode_184,c_9,c_4,c_1,m_1,0.6852,0.8985059433,model_441
episode_185,c_1,c_5,c_8,c_2,0.7282,0.8328195712,model_776
episode_186,c_7,m_1,c_9,c_10,0.7483,0.761277498,model_406
episode_187,c_11,c_5,c_9,c_12,0.7484,0.7796970806,model_234
episode_188,c_6,c_6,c_9,c_11,0.7374,0.7854649883,model_1961
episode_189,c_1,c_9,m_1,c_9,0.7646,0.7128295019,model_1529
episode_190,c_1,c_11,c_1,m_2,0.7213,0.8109223105,model_1255
episode_191,c_5,c_1,c_11,c_12,0.6921,1.0064270259,model_1413
episode_192,c_2,c_1,c_12,m_1,0.7334,0.7851588393,model_621
episode_193,c_6,m_1,c_11,c_6,0.7628,0.7481165384,model_664
episode_194,c_2,c_7,m_2,c_12,0.7611,0.7421512609,model_906
episode_195,c_5,c_2,c_5,c_9,0.7238,0.8053322013,model_1463
episode_196,c_1,c_7,c_9,c_9,0.7586,0.7324546658,model_1771
episode_197,c_10,m_2,c_4,s,0.7174,0.866325562,model_1344
episode_198,c_8,c_4,c_5,m_1,0.7001,0.86758887,model_187
episode_199,c_12,c_7,s,-,0.6822,0.9580085474,model_943
episode_199,c_12,c_7,s,-,0.6914,0.9043684228,model_1600
episode_200,c_12,c_5,c_11,m_3,0.7514,0.7295328117,model_1129
episode_201,c_10,c_10,c_7,s,0.7072,0.8545269935,model_594
episode_202,c_8,c_9,m_1,m_2,0.6974,0.8943244023,model_1615
episode_203,c_12,c_11,c_1,c_6,0.7467,0.7497600924,model_348
episode_204,c_6,c_11,c_4,s,0.6908,0.8864691418,model_39
episode_204,c_6,c_11,c_4,s,0.6939,0.8879109629,model_1036
episode_205,c_9,c_4,c_10,c_5,0.7348,0.8262996692,model_164
episode_206,c_3,c_6,c_6,c_11,0.732,0.80962291,model_208
episode_207,m_2,c_3,c_10,c_10,0.698,0.903680333,model_1237
episode_208,c_6,c_9,c_3,c_7,0.7259,0.8572153281,model_955
episode_209,c_8,c_6,c_11,c_3,0.7465,0.7847323103,model_559
episode_210,c_7,m_2,c_1,c_9,0.7313,0.8015811863,model_950
episode_211,c_10,c_5,c_2,c_2,0.7251,0.8041000025,model_1060
episode_212,c_2,c_1,c_12,c_8,0.7204,0.8367575518,model_1018
episode_213,c_9,c_2,s,-,0.7139,0.8687310364,model_217
episode_213,c_9,c_2,s,-,0.6967,0.9190055837,model_1701
episode_214,c_11,m_3,c_3,c_9,0.7661,0.7102178892,model_1442
episode_215,c_5,c_8,c_10,c_6,0.7365,0.7655745142,model_7
episode_216,c_1,m_2,c_8,m_1,0.7114,0.8350722327,model_332
episode_217,c_9,c_2,c_5,c_1,0.72,0.8273063131,model_739
episode_218,c_2,c_2,c_1,c_8,0.7094,0.8348309374,model_1352
episode_219,m_3,c_7,c_9,c_11,0.6365,1.0793765797,model_1975
episode_220,c_4,c_10,c_7,c_9,0.7428,0.779880892,model_139
episode_221,c_3,c_6,m_1,c_2,0.7298,0.8212579532,model_1732
episode_222,c_6,m_3,c_5,c_3,0.7531,0.7467407001,model_1229
episode_223,c_3,c_8,c_3,c_2,0.743,0.7966152622,model_1385
episode_224,c_11,m_2,c_4,c_4,0.7497,0.7403308847,model_534
episode_225,m_3,m_2,c_8,c_8,0.6115,1.1204720823,model_437
episode_226,c_2,c_11,c_1,c_12,0.7276,0.8038307641,model_343
episode_227,c_8,c_3,c_7,c_4,0.7326,0.777879619,model_1574
episode_228,c_4,c_4,c_2,c_10,0.7056,0.8688353785,model_1546
episode_229,c_9,c_11,c_11,c_8,0.7541,0.7445020029,model_40
episode_230,c_12,c_3,c_6,c_6,0.7553,0.7685099776,model_1563
episode_231,c_4,c_5,c_5,c_1,0.7206,0.8243237475,model_266
episode_232,c_11,m_1,c_6,m_2,0.7514,0.7274690393,model_690
episode_233,c_11,c_4,c_4,s,0.711,0.8548653651,model_1566
episode_234,c_11,c_8,c_9,c_8,0.732,0.8294480017,model_992
episode_235,c_5,c_9,c_8,c_6,0.6977,1.006590204,model_793
episode_236,c_10,c_12,c_2,c_7,0.7501,0.7609769917,model_1355
episode_237,c_2,c_9,c_4,c_9,0.7431,0.7962485741,model_720
episode_238,c_2,c_12,c_1,c_1,0.7381,0.7676847757,model_1965
episode_239,c_4,c_4,c_1,c_11,0.6834,0.9165400075,model_1233
episode_240,c_2,c_12,c_8,c_3,0.7268,0.8165895954,model_1251
episode_241,c_2,m_3,c_3,c_5,0.754,0.7534931206,model_388
episode_242,c_12,s,-,-,0.6803,0.9452649376,model_41
episode_243,c_12,c_2,c_1,c_7,0.7053,0.8600726574,model_662
episode_244,c_1,c_2,m_1,c_1,0.7201,0.8207984342,model_1282
episode_245,c_3,c_4,c_8,m_3,0.721,0.8336628502,model_1598
episode_246,c_2,c_11,m_1,m_1,0.7327,0.7872689457,model_506
episode_247,c_2,c_4,c_5,c_11,0.677,0.9576203646,model_861
episode_248,c_3,c_7,c_6,c_10,0.7243,0.8456251239,model_29
episode_249,c_11,c_8,c_12,c_7,0.7816,0.670923123,model_1011
episode_250,c_1,c_2,c_5,c_10,0.696,0.9044849621,model_1587
episode_251,c_11,c_9,c_2,c_11,0.7238,0.8402155328,model_1551
episode_252,c_7,m_3,c_6,m_2,0.7416,0.7585609003,model_1581
episode_253,c_1,c_6,m_2,c_7,0.7296,0.8148115259,model_753
episode_254,c_5,c_7,c_2,c_1,0.7105,0.8450526757,model_4
episode_255,c_10,c_1,c_2,c_8,0.7146,0.844737805,model_470
episode_256,c_1,c_12,c_11,c_12,0.7669,0.6988646129,model_1807
episode_257,c_2,m_2,c_11,c_5,0.7417,0.7873648536,model_151
episode_258,c_12,c_1,c_5,c_6,0.6807,0.9331054158,model_1477
episode_259,c_1,c_7,c_6,c_8,0.7203,0.79331731,model_125
episode_260,c_2,c_4,c_6,s,0.7001,0.8914868806,model_294
episode_261,c_10,c_10,c_3,m_2,0.7397,0.7786503798,model_271
episode_262,c_2,c_1,c_6,c_11,0.7258,0.8186143458,model_1226
episode_263,m_1,c_2,m_2,c_3,0.6709,0.958640064,model_1159
episode_264,c_6,c_4,c_12,c_11,0.7464,0.749322251,model_1099
episode_265,c_7,c_3,c_3,s,0.7216,0.8536451239,model_553
episode_266,c_1,c_6,c_1,m_3,0.7088,0.8393553137,model_593
episode_267,c_8,s,-,-,0.6822,0.9504524675,model_1311
episode_267,c_8,s,-,-,0.6789,0.963030154,model_1614
