Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1878,c_10,c_12,c_12,c_3,0.9806,0.060021568
model_1879,c_5,c_4,m_3,c_11,0.975,0.08211986
model_1880,m_3,c_7,c_8,m_2,0.8717,0.38322222
model_1881,c_6,c_11,c_3,c_8,0.9791,0.064677976
model_1882,c_10,c_5,c_4,m_1,0.9804,0.06260625
model_1883,c_1,c_10,s,-,0.9774,0.07518652
model_1884,c_7,c_5,m_3,c_7,0.9802,0.07071722
model_1885,c_8,c_4,c_2,c_5,0.9808,0.05956461
model_1886,c_12,c_9,c_9,c_8,0.978,0.06282102
model_1887,c_7,c_10,m_2,s,0.9716,0.093426354
model_1888,c_4,c_2,c_4,c_5,0.9801,0.061482407
model_1889,c_5,m_3,c_3,c_8,0.9687,0.10556834
model_1890,c_8,c_12,s,-,0.9759,0.074727885
model_1891,c_9,c_4,c_6,c_2,0.9806,0.06313663
model_1892,c_2,c_4,c_10,c_8,0.9817,0.05687258
model_1893,c_5,c_10,c_9,c_5,0.9796,0.06399961
model_1894,c_7,c_10,c_11,c_10,0.9808,0.0621201
model_1895,c_2,c_6,c_11,c_3,0.9784,0.06383593
model_1896,c_7,c_2,c_7,c_10,0.9806,0.05756744
model_1897,m_1,s,-,-,0.8953,0.40298048
model_1898,c_11,c_4,c_1,m_3,0.9806,0.059188005
model_1899,c_9,c_4,c_3,s,0.9791,0.06445447
model_1900,c_11,m_1,c_10,m_2,0.9675,0.106541656
model_1901,c_1,m_1,c_6,c_3,0.9666,0.110426575
model_1902,c_11,c_3,c_1,c_3,0.9791,0.060941104
model_1903,c_4,c_8,c_9,c_1,0.9788,0.06391288
model_1904,c_1,c_5,c_5,c_1,0.9804,0.059942782
model_1905,c_12,m_1,s,-,0.9501,0.17252468
model_1906,c_11,c_6,c_12,c_6,0.9794,0.063087195
model_1907,c_12,c_6,c_4,c_12,0.9798,0.06070218
model_1908,c_5,c_11,m_3,c_1,0.9805,0.06446717
model_1909,c_5,m_1,m_2,c_9,0.9567,0.15708715
model_1910,c_6,c_12,c_2,c_8,0.9798,0.06474265
model_1911,c_4,c_7,c_1,m_1,0.9819,0.058327645
model_1912,c_4,c_5,c_3,c_3,0.9806,0.059274983
model_1913,c_7,c_6,m_2,c_2,0.9796,0.06734305
model_1914,c_4,c_9,c_2,c_8,0.9802,0.06480961
model_1915,c_5,m_1,c_11,c_3,0.969,0.10381945
model_1916,c_5,c_7,m_3,c_12,0.9786,0.076839596
model_1917,c_9,m_2,m_1,c_7,0.9619,0.13805361
model_1918,c_2,c_12,c_5,c_6,0.9803,0.060695358
model_1919,c_12,c_8,c_7,c_7,0.9806,0.059777163
model_1920,m_3,m_3,c_5,m_2,0.1135,2.3010676
model_1921,c_3,m_1,c_7,c_4,0.9676,0.10543926
model_1922,c_9,m_1,c_2,c_11,0.9683,0.10246701
model_1923,c_8,c_4,s,-,0.9761,0.07588264
model_1924,c_1,c_3,c_9,c_8,0.9799,0.06376102
model_1925,c_3,m_1,c_5,c_7,0.9683,0.10524955
model_1926,c_2,c_2,c_12,m_2,0.979,0.06393004
model_1927,c_12,c_11,c_5,m_3,0.9781,0.06492816
model_1928,c_11,c_11,m_1,c_11,0.9729,0.087484956
model_1929,c_6,c_10,c_12,m_1,0.9798,0.06313086
model_1930,c_10,m_3,c_1,c_4,0.9524,0.16296378
model_1931,c_5,c_6,c_2,c_5,0.9805,0.061114952
model_1932,c_12,c_4,c_9,m_3,0.9807,0.059880517
model_1933,c_2,c_11,s,-,0.9767,0.071981534
model_1934,c_4,m_2,m_3,c_6,0.8739,0.50132835
model_1935,c_1,c_7,c_9,c_3,0.9806,0.05999812
model_1936,c_6,c_4,s,-,0.9761,0.0745022
model_1937,c_12,c_10,c_7,-,0.9763,0.074690886
model_1938,c_2,c_7,m_2,c_8,0.9715,0.09269754
model_1939,c_12,m_1,c_5,m_2,0.9693,0.106439084
model_1940,c_1,c_11,c_8,c_7,0.9806,0.0596798
model_1941,c_7,c_1,c_2,m_3,0.9801,0.05949976
model_1942,c_3,c_2,c_7,c_2,0.9794,0.06708236
model_1943,c_3,c_4,c_4,m_2,0.9798,0.062020652
model_1944,c_3,c_3,m_3,m_2,0.9814,0.06144468
model_1945,c_7,c_1,m_1,c_12,0.9718,0.095433794
model_1946,c_8,c_12,c_4,m_1,0.9804,0.060459282
model_1947,c_11,c_5,c_3,c_2,0.9789,0.06280089
model_1948,c_3,c_10,s,-,0.9757,0.07617077
model_1949,c_2,m_2,c_4,s,0.9659,0.11154263
model_1950,c_6,m_2,c_11,c_6,0.9724,0.09017061
model_1951,c_6,c_3,c_3,c_1,0.9801,0.061352234
model_1952,c_3,c_6,c_5,c_8,0.9777,0.06716399
model_1953,c_12,c_1,c_5,c_5,0.9803,0.061781045
model_1954,c_5,c_7,m_1,c_6,0.972,0.092862025
model_1955,c_9,c_4,c_11,c_8,0.9793,0.06184501
model_1956,c_7,m_3,c_3,m_1,0.9576,0.14971668
model_1957,m_2,c_11,c_11,c_5,0.953,0.155157
model_1958,c_9,c_2,m_1,c_1,0.9741,0.08864668
model_1959,c_11,c_12,c_5,m_3,0.9796,0.06252173
model_1960,c_4,c_12,c_5,c_5,0.9795,0.06266577
model_1961,c_6,c_6,c_9,c_11,0.9819,0.059361536
model_1962,c_6,m_3,c_3,c_8,0.9751,0.08203023
model_1963,c_1,c_10,c_8,c_4,0.9798,0.06174139
model_1964,c_11,m_1,c_2,c_11,0.9686,0.10955758
model_1965,c_2,c_12,c_1,c_1,0.9803,0.059294913
model_1966,c_5,c_4,c_3,m_1,0.9804,0.05963605
model_1967,c_6,c_1,s,-,0.9767,0.074852854
model_1968,c_10,c_3,s,-,0.9778,0.07080029
