EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_112,c_3,c_1,c_6,m_3,0.721,0.8069136542,model_718
episode_113,c_6,c_3,c_3,c_1,0.7346,0.7870796384,model_1951
episode_114,c_9,m_2,m_2,c_2,0.7149,0.8308344697,model_612
episode_115,c_4,c_9,c_11,c_3,0.7417,0.7592806885,model_2029
episode_116,m_1,m_2,c_4,c_5,0.6725,0.9412686082,model_698
episode_117,c_11,c_11,c_6,c_7,0.7227,0.8183976976,model_1698
episode_118,c_2,c_7,m_2,c_8,0.7222,0.8051841713,model_1938
episode_119,c_6,m_3,c_9,m_2,0.7261,0.7827118906,model_1519
episode_120,c_11,c_11,c_9,c_10,0.738,0.8011596905,model_904
episode_121,c_9,m_2,m_1,c_7,0.739,0.7790494974,model_1917
episode_122,c_3,c_6,c_1,m_2,0.6813,0.9156428357,model_334
episode_123,c_2,c_1,c_10,c_8,0.7034,0.8915609694,model_1572
episode_124,m_1,c_7,c_11,c_9,0.7106,0.937867742,model_668
episode_125,c_2,c_5,c_5,c_7,0.7198,0.8222274322,model_2034
episode_126,c_2,c_11,c_11,m_2,0.7043,0.8947805203,model_2025
episode_127,c_2,c_8,m_3,c_4,0.7349,0.7659013645,model_1562
episode_128,c_5,c_4,c_4,c_11,0.706,0.8899975504,model_126
episode_129,c_12,c_6,m_2,m_3,0.7548,0.7268474554,model_242
episode_130,c_6,c_7,c_2,c_1,0.6972,0.8970665266,model_1527
episode_131,c_4,c_7,c_10,c_3,0.7226,0.8149588659,model_33
episode_132,c_1,c_2,m_3,m_2,0.7024,0.8715403479,model_2054
episode_133,c_8,c_6,c_8,c_7,0.7109,0.9382096507,model_1446
episode_134,c_10,c_7,m_2,c_8,0.7374,0.7604970471,model_1768
episode_135,c_2,c_6,c_5,s,0.7213,0.812184321,model_352
episode_136,c_8,c_8,c_6,c_4,0.751,0.7918688383,model_558
episode_137,c_12,c_5,c_8,c_4,0.7453,0.7687450197,model_995
episode_138,c_2,c_2,c_4,c_1,0.7161,0.8236143051,model_1158
episode_139,c_1,m_3,c_11,c_2,0.738,0.7620108969,model_1687
episode_140,c_10,c_1,c_1,s,0.678,0.9409360253,model_577
episode_141,c_7,c_3,c_5,c_12,0.7288,0.8711289335,model_815
episode_142,c_9,c_4,c_6,c_2,0.7239,0.8449650784,model_1891
episode_143,c_11,c_1,s,-,0.6648,0.9658538896,model_224
episode_143,c_11,c_1,s,-,0.6999,0.8998106122,model_1307
episode_144,c_11,c_6,c_7,m_3,0.7393,0.7592977126,model_574
episode_145,c_7,c_7,c_3,c_10,0.7328,0.803633564,model_993
episode_146,c_11,c_8,c_2,c_7,0.7296,0.8234360091,model_350
episode_147,c_8,c_4,s,-,0.6848,0.9017666427,model_46
episode_147,c_8,c_4,s,-,0.7012,0.8856213157,model_1923
episode_148,c_9,c_11,c_8,c_6,0.7442,0.7630780788,model_1268
episode_149,c_2,m_3,c_9,c_1,0.7628,0.7070952824,model_1728
episode_150,c_9,c_11,c_5,c_11,0.7124,0.9090737953,model_1125
episode_151,c_7,c_6,c_11,c_8,0.7435,0.7630189577,model_2049
episode_152,c_10,m_1,c_4,c_11,0.739,0.7732443058,model_1536
episode_153,c_9,c_7,s,-,0.7022,0.8965753549,model_337
episode_153,c_9,c_7,s,-,0.6685,0.995799735,model_1520
episode_154,c_8,c_6,m_1,m_3,0.7281,0.8073756664,model_795
episode_155,c_2,c_7,c_1,c_4,0.7002,0.8892723557,model_150
episode_156,c_7,c_10,c_5,c_5,0.7354,0.793348402,model_490
episode_157,c_10,c_12,c_11,c_7,0.7606,0.7346600438,model_362
episode_158,c_5,c_9,c_3,c_11,0.7416,0.8519901667,model_536
episode_159,c_5,c_7,c_3,c_6,0.7155,0.8433741025,model_1499
episode_160,c_6,c_9,c_6,c_6,0.7541,0.7287921838,model_797
episode_161,c_5,m_3,m_2,c_12,0.7156,0.8246446155,model_105
episode_162,c_8,c_2,c_6,c_6,0.7421,0.7755582386,model_618
episode_163,c_10,c_9,m_1,s,0.7264,0.8071827404,model_1293
episode_164,c_11,c_6,m_2,c_2,0.7481,0.7643162394,model_1425
episode_165,c_2,m_3,c_8,c_3,0.7591,0.7220356972,model_1751
episode_166,c_7,m_1,m_2,c_6,0.7413,0.7792871591,model_140
episode_167,m_1,c_7,m_1,m_2,0.6084,1.1114373125,model_840
episode_168,c_3,c_6,c_5,c_8,0.7241,0.817873143,model_1952
episode_169,c_5,c_6,c_11,c_7,0.7558,0.7378811741,model_313
episode_170,c_5,c_9,c_3,c_4,0.7401,0.7828069387,model_1049
episode_171,c_9,m_3,c_8,c_11,0.7711,0.7193366932,model_1021
episode_172,c_2,c_1,c_12,c_9,0.7382,0.7760415648,model_1674
episode_173,c_12,c_9,c_3,m_1,0.7563,0.7240177765,model_1804
episode_174,c_7,c_1,c_5,c_2,0.7165,0.8436643237,model_511
episode_175,c_5,m_2,c_8,c_3,0.7447,0.7732150639,model_615
episode_176,c_12,c_2,c_12,m_2,0.7423,0.7626180931,model_1534
